,Date
290,1988:9:19:12
291,1988:9:19:18
292,1988:9:20:0
293,1988:9:20:6
294,1988:9:20:12
295,1988:9:20:18
296,1988:9:23:6
297,1988:9:23:12
298,1988:9:24:18
299,1988:9:25:0
300,1988:9:25:6
301,1988:9:25:18
302,1988:9:26:0
303,1988:9:26:18
304,1988:9:27:0
305,1988:10:4:12
306,1988:10:4:18
307,1988:10:12:18
308,1988:10:13:0
309,1988:10:13:6
310,1988:10:13:12
311,1988:10:13:18
312,1988:10:14:0
313,1988:10:14:18
314,1988:10:15:18
315,1988:10:19:0
316,1988:10:19:6
317,1988:10:19:12
318,1988:10:20:0
319,1988:10:20:6
320,1988:10:21:18
321,1988:10:22:0
322,1988:10:22:6
323,1988:10:22:12
324,1988:10:22:18
325,1988:10:23:0
326,1988:10:23:6
327,1988:10:23:12
328,1988:10:23:18
329,1988:10:24:0
330,1988:10:24:6
331,1988:10:30:0
332,1988:10:30:6
333,1988:10:30:12
334,1988:10:30:18
335,1988:10:31:0
336,1988:10:31:6
337,1988:10:31:12
338,1988:10:31:18
339,1988:11:1:0
340,1988:11:1:6
341,1988:11:1:12
342,1988:11:1:18
343,1988:11:2:6
344,1988:11:2:12
345,1988:11:2:18
346,1988:11:5:6
347,1988:11:5:12
348,1988:11:5:18
349,1988:11:6:0
350,1988:11:6:6
351,1988:11:6:12
352,1988:11:10:6
353,1988:11:12:0
354,1988:11:12:6
355,1988:11:12:12
356,1988:11:12:18
357,1988:11:13:6
358,1988:11:13:12
359,1988:11:15:6
360,1988:11:15:12
361,1988:11:16:12
362,1988:11:16:18
363,1988:11:22:12
364,1988:11:22:18
365,1988:11:23:0
366,1988:11:23:6
367,1988:11:23:12
368,1988:11:23:18
369,1988:11:24:18
370,1988:11:25:0
371,1988:11:25:6
372,1988:11:25:12
373,1988:11:25:18
374,1988:11:26:0
375,1988:11:26:12
376,1988:11:26:18
377,1988:11:27:6
378,1988:11:27:12
379,1988:11:27:18
380,1988:11:28:0
381,1988:11:28:6
382,1988:12:1:18
383,1988:12:2:0
384,1988:12:4:12
385,1988:12:6:6
386,1988:12:7:18
387,1988:12:8:0
388,1988:12:8:6
389,1988:12:8:12
390,1988:12:8:18
391,1988:12:9:0
392,1988:12:9:6
393,1988:12:11:12
394,1988:12:11:18
395,1988:12:12:0
396,1988:12:12:6
397,1988:12:12:18
398,1988:12:13:0
399,1988:12:13:6
400,1988:12:18:18
401,1988:12:19:0
402,1988:12:19:12
403,1988:12:20:18
404,1988:12:21:0
405,1988:12:22:12
406,1988:12:22:18
407,1988:12:23:0
408,1988:12:24:6
409,1988:12:24:12
410,1988:12:24:18
411,1988:12:29:6
412,1988:12:29:12
413,1988:12:29:18
414,1988:12:30:0
415,1988:12:30:6
416,1988:12:30:12
417,1989:1:2:6
418,1989:1:2:12
419,1989:1:3:0
420,1989:1:3:6
421,1989:1:3:12
422,1989:1:3:18
423,1989:1:4:0
424,1989:1:4:6
425,1989:1:4:6
426,1989:1:8:12
427,1989:1:9:0
428,1989:1:9:6
429,1989:1:9:12
430,1989:1:9:18
431,1989:1:10:0
432,1989:1:10:6
433,1989:1:10:12
434,1989:1:12:18
435,1989:1:13:0
436,1989:1:13:6
437,1989:1:15:6
438,1989:1:15:12
439,1989:1:16:12
440,1989:1:16:18
441,1989:1:17:0
442,1989:1:17:6
443,1989:1:17:18
444,1989:1:18:0
445,1989:1:18:6
446,1989:1:18:12
447,1989:1:22:0
448,1989:1:22:6
449,1989:1:22:12
450,1989:1:25:0
451,1989:1:27:0
452,1989:1:29:0
453,1989:1:29:6
454,1989:1:29:12
455,1989:1:29:18
456,1989:1:30:0
457,1989:1:30:6
458,1989:2:3:12
459,1989:2:4:6
460,1989:2:4:18
461,1989:2:8:6
462,1989:2:8:12
463,1989:2:8:18
464,1989:2:9:0
465,1989:2:9:6
466,1989:2:9:12
467,1989:2:16:12
468,1989:2:17:0
469,1989:2:17:6
470,1989:2:17:12
471,1989:2:17:18
472,1989:2:18:0
473,1989:2:18:6
474,1989:2:18:12
475,1989:2:19:12
476,1989:2:19:18
477,1989:2:20:0
478,1989:2:20:6
479,1989:2:21:6
480,1989:2:21:12
481,1989:2:21:18
482,1989:2:22:0
483,1989:2:22:6
484,1989:2:22:12
485,1989:2:22:18
486,1989:3:2:0
487,1989:3:2:6
488,1989:3:2:12
489,1989:3:2:18
490,1989:3:4:18
491,1989:3:5:0
492,1989:3:5:6
493,1989:3:5:12
494,1989:3:5:18
495,1989:3:6:0
496,1989:3:6:6
497,1989:3:6:12
498,1989:3:6:18
499,1989:3:7:0
500,1989:3:8:6
501,1989:3:8:12
502,1989:3:8:18
503,1989:3:9:0
504,1989:3:9:6
505,1989:3:9:12
506,1989:3:9:18
507,1989:3:10:0
508,1989:3:10:6
509,1989:3:10:18
510,1989:3:11:0
511,1989:3:11:6
512,1989:3:11:12
513,1989:3:13:0
514,1989:3:15:6
515,1989:3:15:12
516,1989:3:15:18
517,1989:3:16:0
518,1989:3:16:6
519,1989:3:21:0
520,1989:3:25:0
521,1989:3:27:0
522,1989:3:27:12
523,1989:3:27:18
524,1989:3:28:0
525,1989:3:28:6
526,1989:3:28:12
527,1989:3:28:18
528,1989:3:29:0
529,1989:3:30:18
530,1989:3:31:0
531,1989:9:17:12
532,1989:9:17:18
533,1989:9:18:0
534,1989:9:26:0
535,1989:10:4:0
536,1989:10:10:0
537,1989:10:10:6
538,1989:10:10:12
539,1989:10:10:18
540,1989:10:11:6
541,1989:10:11:12
542,1989:10:11:18
543,1989:10:12:0
544,1989:10:12:6
545,1989:10:17:12
546,1989:10:17:18
547,1989:10:18:0
548,1989:10:18:6
549,1989:10:20:18
550,1989:10:21:0
551,1989:10:21:6
552,1989:10:21:12
553,1989:10:21:18
554,1989:10:22:0
555,1989:10:22:6
556,1989:10:22:12
557,1989:10:22:18
558,1989:10:23:0
559,1989:10:23:6
560,1989:10:23:12
561,1989:10:23:18
562,1989:10:24:0
563,1989:10:26:0
564,1989:10:26:6
565,1989:10:26:12
566,1989:11:3:0
567,1989:11:3:6
568,1989:11:3:12
569,1989:11:3:18
570,1989:11:4:0
571,1989:11:4:6
572,1989:11:4:12
573,1989:11:4:18
574,1989:11:5:0
575,1989:11:6:12
576,1989:11:6:18
577,1989:11:8:6
578,1989:11:8:12
579,1989:11:8:18
580,1989:11:9:0
581,1989:11:9:6
582,1989:11:17:0
583,1989:11:17:6
584,1989:11:17:12
585,1989:11:17:18
586,1989:11:18:0
587,1989:11:18:6
588,1989:11:18:12
589,1989:11:20:12
590,1989:11:20:18
591,1989:11:21:0
592,1989:11:23:6
593,1989:11:24:12
594,1989:11:24:18
595,1989:11:25:12
596,1989:11:25:18
597,1989:11:26:0
598,1989:11:26:6
599,1989:12:2:12
600,1989:12:2:18
601,1989:12:3:0
602,1989:12:3:6
603,1989:12:3:12
604,1989:12:5:12
605,1989:12:5:18
606,1989:12:7:18
607,1989:12:8:0
608,1989:12:8:6
609,1989:12:8:12
610,1989:12:29:18
611,1989:12:30:0
612,1990:1:5:12
613,1990:1:5:18
614,1990:1:6:0
615,1990:1:6:6
616,1990:1:6:12
617,1990:1:6:18
618,1990:1:7:0
619,1990:1:7:6
620,1990:1:7:12
621,1990:1:7:18
622,1990:1:8:0
623,1990:1:8:6
624,1990:1:8:12
625,1990:1:9:0
626,1990:1:9:6
627,1990:1:9:12
628,1990:1:9:18
629,1990:1:10:0
630,1990:1:10:6
631,1990:1:12:0
632,1990:1:12:6
633,1990:1:12:12
634,1990:1:12:18
635,1990:1:13:0
636,1990:1:22:0
637,1990:1:23:0
638,1990:1:25:0
639,1990:1:25:6
640,1990:1:25:12
641,1990:1:25:18
642,1990:1:26:0
643,1990:1:28:18
644,1990:1:29:0
645,1990:1:30:0
646,1990:1:30:12
647,1990:2:1:0
648,1990:2:1:6
649,1990:2:1:18
650,1990:2:2:0
651,1990:2:2:12
652,1990:2:2:18
653,1990:2:3:0
654,1990:2:3:6
655,1990:2:3:12
656,1990:2:3:18
657,1990:2:5:0
658,1990:2:5:6
659,1990:2:5:12
660,1990:2:8:0
661,1990:2:8:6
662,1990:2:9:12
663,1990:2:9:18
664,1990:2:10:0
665,1990:2:10:6
666,1990:2:10:12
667,1990:2:10:18
668,1990:2:11:6
669,1990:2:20:0
670,1990:2:20:6
671,1990:2:20:12
672,1990:3:2:12
673,1990:3:2:18
674,1990:3:3:0
675,1990:3:3:6
676,1990:3:3:12
677,1990:3:3:18
678,1990:3:4:12
679,1990:3:4:18
680,1990:3:6:12
681,1990:3:7:0
